Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,131586,5561,79446,46579,1473,4.23,60.38,7.0,38928341,3380.0,120216,11370,9.46
Albania,132580,2456,130043,81,15,1.85,98.09,1.89,2877800,46070.0,132526,54,0.04
Algeria,144483,3811,100383,40289,831,2.64,69.48,3.8,43851043,3295.0,140550,3933,2.8
Andorra,14075,127,13770,178,25,0.9,97.83,0.92,77265,182165.0,13918,157,1.13
Angola,39791,928,34169,4694,198,2.33,85.87,2.72,32866268,1211.0,39089,702,1.8
Antigua and Barbuda,1266,42,1222,2,0,3.32,96.52,3.44,97928,12928.0,1264,2,0.16
Argentina,4627537,98148,4246200,283189,14518,2.12,91.76,2.31,45195777,102389.0,4512439,115098,2.55
Armenia,226135,4540,217490,4105,148,2.01,96.18,2.09,2963234,76314.0,225339,796,0.35
Australia,31015,910,23852,6253,64,2.93,76.9,3.82,50919400,609.0,30734,281,0.91
Austria,651291,10722,638719,1850,163,1.65,98.07,1.68,9006400,72314.0,650569,722,0.11
Azerbaijan,336962,4982,330668,1312,174,1.48,98.13,1.51,10139175,33234.0,336223,739,0.22
Bahamas,13024,252,11855,917,0,1.93,91.02,2.13,393248,33119.0,12735,289,2.27
Bahrain,267038,1374,264340,1324,119,0.51,98.99,0.52,1701583,156935.0,266140,898,0.34
Bangladesh,1000543,16004,862384,122155,11324,1.6,86.19,1.86,164689383,6075.0,930042,70501,7.58
Barbados,4128,48,4036,44,9,1.16,97.77,1.19,287371,14365.0,4082,46,1.13
Belarus,425804,3236,418920,3648,1250,0.76,98.38,0.77,9449321,45062.0,419330,6474,1.54
Belgium,1093700,25198,0,1068502,1223,2.3,0.0,7.977591623036649,23021022,47509.0,1086508,7192,0.66
Belize,13518,330,12848,340,42,2.44,95.04,2.57,397621,33997.0,13343,175,1.31
Benin,8227,105,8000,122,0,1.28,97.24,1.31,12123198,679.0,8199,28,0.34
Bhutan,2258,1,1933,324,6,0.04,85.61,0.05,771612,2926.0,2122,136,6.41
Bolivia,451224,17126,375676,58422,0,3.8,83.26,4.56,11673029,38655.0,442884,8340,1.88
Bosnia and Herzegovina,205047,9667,183663,11717,0,4.71,89.57,5.26,3280815,62499.0,205047,0,0.0
Botswana,75388,1202,69914,4272,0,1.59,92.74,1.72,2351625,32058.0,71443,3945,5.52
Brazil,19020499,531688,16823301,1665510,57737,2.8,88.45,3.16,422706534,44997.0,18687469,333030,1.78
Brunei,266,3,255,8,0,1.13,95.86,1.18,437483,608.0,261,5,1.92
Bulgaria,422414,18138,396309,7967,61,4.29,93.82,4.58,6948445,60793.0,421983,431,0.1
Burkina Faso,13506,168,13317,21,1,1.24,98.6,1.26,20903278,646.0,13488,18,0.13
Burma,184375,3685,143460,37230,4320,2.0,77.81,2.57,54409800,3389.0,161210,23165,14.37
Burundi,5608,8,773,4827,23,0.14,13.78,1.03,11890781,472.0,5494,114,2.07
Cabo Verde,32928,289,32085,554,45,0.88,97.44,0.9,555988,59224.0,32666,262,0.8
Cambodia,59045,855,50917,7273,988,1.45,86.23,1.68,16718971,3532.0,52350,6695,12.79
Cameroon,80858,1324,35261,44273,0,1.64,43.61,3.75,26545864,3046.0,80858,0,0.0
Canada,1427475,26383,1395702,5390,770,1.85,97.77,1.89,75750184,18845.0,1423837,3638,0.26
Central African Republic,7142,98,6859,185,0,1.37,96.04,1.43,4829764,1479.0,7141,1,0.01
Chad,4953,174,4777,2,0,3.51,96.45,3.64,16425859,302.0,4951,2,0.04
Chile,1582391,33636,1529269,19486,2800,2.13,96.64,2.2,36692988,43125.0,1562613,19778,1.27
China,104019,4848,98619,552,27,4.66,94.81,4.92,2809352660,37.0,103825,194,0.19
Colombia,4471622,111731,4199227,160664,21536,2.5,93.91,2.66,99141018,45104.0,4297302,174320,4.06
Comoros,3979,146,3784,49,3,3.67,95.1,3.86,869595,4576.0,3957,22,0.56
Congo (Brazzaville),12790,167,11759,864,0,1.31,91.94,1.42,89561403,143.0,12695,95,0.75
Congo (Kinshasa),43694,979,28601,14114,361,2.24,65.46,3.42,5518087,7918.0,41771,1923,4.6
Costa Rica,380482,4773,305426,70283,1544,1.25,80.27,1.56,5094114,74691.0,371206,9276,2.5
Cote d'Ivoire,48776,318,48085,373,37,0.65,98.58,0.66,26378274,1849.0,48378,398,0.82
Croatia,360680,8226,351842,612,87,2.28,97.55,2.34,4105268,87858.0,360067,613,0.17
Cuba,224818,1451,198981,24386,6422,0.65,88.51,0.73,11326616,19849.0,197253,27565,13.97
Cyprus,82463,380,39061,43022,882,0.46,47.37,0.97,1207361,68300.0,76862,5601,7.29
Czechia,1668891,30331,1636772,1788,272,1.82,98.08,1.85,10708981,155840.0,1667608,1283,0.08
Denmark,298970,2539,290853,5578,559,0.85,97.29,0.87,5897840,50691.0,295306,3664,1.24
Diamond Princess,712,13,699,0,0,1.83,98.17,1.86,0,33654.671875,712,0,0.0
Djibouti,11614,155,11450,9,0,1.33,98.59,1.35,988002,11755.0,11602,12,0.1
Dominica,197,0,192,5,0,0.0,97.46,0.0,71991,2736.0,194,3,1.55
Dominican Republic,332384,3879,272778,55727,558,1.17,82.07,1.42,10847904,30640.0,327561,4823,1.47
Ecuador,467073,21803,431404,13866,1195,4.67,92.36,5.05,17643060,26473.0,461157,5916,1.28
Egypt,282864,16368,217324,49172,127,5.79,76.83,7.53,102334403,2764.0,281722,1142,0.41
El Salvador,80932,2433,73961,4538,0,3.01,91.39,3.29,6486201,12478.0,78766,2166,2.75
Equatorial Guinea,8790,122,8572,96,0,1.39,97.52,1.42,1402985,6265.0,8742,48,0.55
Eritrea,6259,29,5826,404,17,0.46,93.08,0.5,3546427,1765.0,6051,208,3.44
Estonia,131396,1270,127799,2327,39,0.97,97.26,0.99,1326539,99052.0,131123,273,0.21
Eswatini,19779,686,18424,669,117,3.47,93.15,3.72,1160164,17048.0,19084,695,3.64
Ethiopia,276871,4342,261933,10596,72,1.57,94.6,1.66,114963583,2408.0,276323,548,0.2
Fiji,9521,51,1518,7952,860,0.54,15.94,3.36,896444,10621.0,5253,4268,81.25
Finland,97651,976,46000,50675,302,1.0,47.11,2.12,5540718,17624.0,96180,1471,1.53
France,5865767,111492,407200,5347075,4639,1.9,6.94,27.38,68151730,86069.0,5842654,23113,0.4
Gabon,25164,162,24898,104,31,0.64,98.94,0.65,2225728,11306.0,25076,88,0.35
Gambia,6183,183,5876,124,0,2.96,95.03,3.11,2416664,2558.0,6079,104,1.71
Georgia,374836,5421,357804,11611,1108,1.45,95.46,1.52,3989175,93963.0,368022,6814,1.85
Germany,3742355,91232,3632230,18893,885,2.44,97.06,2.51,166803158,22436.0,3737630,4725,0.13
Ghana,96971,797,94281,1893,0,0.82,97.23,0.85,31072945,3121.0,95914,1057,1.1
Greece,435018,12761,93764,328493,1997,2.93,21.55,13.61,10423056,41736.0,424165,10853,2.56
Grenada,161,1,160,0,0,0.62,99.38,0.62,112519,1431.0,161,0,0.0
Guatemala,314302,9643,276272,28387,2960,3.07,87.9,3.49,17915567,17544.0,298904,15398,5.15
Guinea,24020,175,23328,517,21,0.73,97.12,0.75,13132792,1829.0,23807,213,0.89
Guinea-Bissau,3934,70,3621,243,13,1.78,92.04,1.93,1967998,1999.0,3880,54,1.39
Guyana,20834,489,18911,1434,77,2.35,90.77,2.59,786559,26488.0,20231,603,2.98
Haiti,19220,471,12961,5788,48,2.45,67.43,3.63,11402533,1686.0,18658,562,3.01
Holy See,27,0,27,0,0,0.0,100.0,0.0,809,33375.0,27,0,0.0
Honduras,272730,7221,94054,171455,1111,2.65,34.49,7.68,9904608,27536.0,265174,7556,2.85
Hungary,808437,30004,741083,37350,44,3.71,91.67,4.05,9660350,83686.0,808197,240,0.03
Iceland,6555,29,6476,50,0,0.44,98.79,0.45,341250,19209.0,6555,0,0.0
India,30795716,407145,29933538,455033,42766,1.32,97.2,1.36,2751341248,11193.0,30502362,293354,0.96
Indonesia,2455912,64631,2023548,367733,38124,2.63,82.39,3.19,273523621,8979.0,2228938,226974,10.18
Iran,3344122,85543,2995195,263384,16596,2.56,89.57,2.86,83992953,39814.0,3232696,111426,3.45
Iraq,1414925,17476,1294411,103038,8636,1.24,91.48,1.35,40222503,35177.0,1359836,55089,4.05
Ireland,276735,5006,23364,248365,631,1.81,8.44,21.43,4937796,56044.0,273296,3439,1.26
Israel,845379,6434,835048,3897,390,0.76,98.78,0.77,8655541,97669.0,842371,3008,0.36
Italy,4268491,127756,4099339,41396,1386,2.99,96.04,3.12,120822834,35329.0,4261582,6909,0.16
Jamaica,50568,1111,36882,12575,71,2.2,72.94,3.01,2961161,17077.0,50242,326,0.65
Japan,816593,14885,781457,20251,2274,1.82,95.7,1.9,252643406,3232.0,803812,12781,1.59
Jordan,755948,9818,739228,6902,468,1.3,97.79,1.33,10203140,74090.0,752395,3553,0.47
Kazakhstan,505630,3561,460850,41219,3049,0.7,91.14,0.77,18776707,26929.0,488204,17426,3.57
Kenya,187977,3718,177783,6476,452,1.98,94.58,2.09,53771300,3496.0,185060,2917,1.58
Kiribati,2,0,0,2,0,0.0,0.0,0.0,117606,17.0,2,0,0.0
"Korea, South",166722,2038,153153,11531,1378,1.22,91.86,1.33,51269183,3252.0,159342,7380,4.63
Kosovo,107835,2268,105422,145,8,2.1,97.76,2.15,1793000,60142.0,107785,50,0.05
Kuwait,372549,2089,352208,18252,1617,0.56,94.54,0.59,4270563,87237.0,360406,12143,3.37
Kyrgyzstan,137058,2083,116358,18617,1319,1.52,84.9,1.79,6524191,21008.0,127880,9178,7.18
Laos,2537,3,2104,430,68,0.12,82.93,0.14,7275556,349.0,2176,361,16.59
Latvia,137831,2536,134610,685,34,1.84,97.66,1.88,1886202,73073.0,137540,291,0.21
Lebanon,547170,7871,534069,5230,404,1.44,97.61,1.47,6825442,80166.0,545226,1944,0.36
Lesotho,11646,335,6592,4719,2,2.88,56.6,5.08,2142252,5436.0,11544,102,0.88
Liberia,5080,142,2565,2373,86,2.8,50.49,5.54,5057677,1004.0,4520,560,12.39
Libya,201236,3232,180484,17520,1710,1.61,89.69,1.79,6871287,29287.0,194323,6913,3.56
Liechtenstein,3054,59,2972,23,2,1.93,97.31,1.99,38137,80080.0,3040,14,0.46
Lithuania,279094,4396,268102,6596,70,1.58,96.06,1.64,2722291,102522.0,278826,268,0.1
Luxembourg,72010,819,69836,1355,131,1.14,96.98,1.17,625976,115036.0,71031,979,1.38
MS Zaandam,9,2,7,0,0,22.22,77.78,28.57,0,33654.671875,9,0,0.0
Madagascar,42392,928,40798,666,16,2.19,96.24,2.27,27691019,1531.0,42264,128,0.3
Malawi,38434,1234,33772,3428,451,3.21,87.87,3.65,19129955,2009.0,36573,1861,5.09
Malaysia,817838,5980,731193,80665,9180,0.73,89.41,0.82,32365998,25268.0,765949,51889,6.77
Maldives,74903,213,71877,2813,55,0.28,95.96,0.3,540542,138570.0,74074,829,1.12
Mali,14457,528,10092,3837,2,3.65,69.81,5.23,20250834,714.0,14435,22,0.15
Malta,30851,420,30179,252,96,1.36,97.82,1.39,441539,69872.0,30633,218,0.71
Marshall Islands,4,0,4,0,0,0.0,100.0,0.0,58413,68.0,4,0,0.0
Mauritania,21499,493,20142,864,196,2.29,93.69,2.45,4649660,4624.0,20977,522,2.49
Mauritius,1858,18,1534,306,0,0.97,82.56,1.17,1271767,1461.0,1858,0,0.0
Mexico,2577140,234675,2036776,305689,9319,9.11,79.03,11.52,255584572,10083.0,2531192,45948,1.82
Micronesia,1,0,1,0,0,0.0,100.0,0.0,113815,9.0,1,0,0.0
Moldova,257343,6207,250307,829,71,2.41,97.27,2.48,4033963,63794.0,256870,473,0.18
Monaco,2611,33,2542,36,8,1.26,97.36,1.3,39244,66532.0,2586,25,0.97
Mongolia,134270,660,96513,37097,0,0.49,71.88,0.68,3278292,40957.0,120339,13931,11.58
Montenegro,100430,1620,98491,319,16,1.61,98.07,1.64,628062,159905.0,100292,138,0.14
Morocco,539839,9351,523128,7360,1250,1.73,96.9,1.79,36910558,14626.0,532994,6845,1.28
Mozambique,86249,947,72894,12408,1327,1.1,84.52,1.3,31255435,2759.0,78074,8175,10.47
Namibia,102373,1883,76102,24388,1372,1.84,74.34,2.47,2540916,40290.0,92869,9504,10.23
Nepal,652859,9340,616929,26590,1479,1.43,94.5,1.51,29136808,22407.0,642053,10806,1.68
Netherlands,1736666,18048,27456,1691162,6960,1.04,1.58,65.73,34882427,49786.0,1714524,22142,1.29
New Zealand,2766,26,2707,33,0,0.94,97.87,0.96,4839692,572.0,2743,23,0.84
Nicaragua,8461,192,4225,4044,0,2.27,49.93,4.54,6624554,1277.0,8178,283,3.46
Niger,5532,194,5228,110,3,3.51,94.5,3.71,24206636,229.0,5492,40,0.73
Nigeria,168442,2122,164423,1897,186,1.26,97.61,1.29,399640130,421.0,167732,710,0.42
North Macedonia,155770,5487,150123,160,10,3.52,96.37,3.66,2083380,74768.0,155700,70,0.04
Norway,132966,796,17998,114172,293,0.6,13.54,4.42,5421242,24527.0,131749,1217,0.92
Oman,281688,3371,250564,27753,0,1.2,88.95,1.35,5106622,55161.0,270504,11184,4.13
Pakistan,971304,22555,912295,36454,1828,2.32,93.92,2.47,428724125,2266.0,961085,10219,1.06
Palau,0,0,0,0,0,0.0,0.0,0.0,18008,0.0,0,0,0.0
Panama,413626,6614,393377,13635,1160,1.6,95.1,1.68,4314768,95863.0,406013,7613,1.88
Papua New Guinea,17292,177,16518,597,0,1.02,95.52,1.07,8947027,1933.0,17098,194,1.13
Paraguay,435522,13806,390003,31713,1258,3.17,89.55,3.54,7132530,61061.0,426318,9204,2.16
Peru,2074186,193909,2035017,-154740,0,9.35,98.11,9.53,65597846,31620.0,2057554,16632,0.81
Philippines,1461455,25720,1383833,51902,5870,1.76,94.69,1.86,109581085,13337.0,1424518,36937,2.59
Poland,2880670,75152,2652409,153109,74,2.61,92.08,2.83,76257753,37775.0,2880107,563,0.02
Portugal,902489,17142,842024,43323,3194,1.9,93.3,2.04,10196707,88508.0,884442,18047,2.04
Qatar,223175,598,221027,1550,144,0.27,99.04,0.27,2881060,77463.0,222350,825,0.37
Romania,1081174,34197,1045351,1626,54,3.16,96.69,3.27,19237682,56201.0,1080860,314,0.03
Russia,5664200,139156,5104709,420335,25299,2.46,90.12,2.73,292579178,19360.0,5495513,168687,3.07
Rwanda,46837,534,31137,15166,887,1.14,66.48,1.72,12952209,3616.0,40798,6039,14.8
Saint Kitts and Nevis,520,3,333,184,1,0.58,64.04,0.9,53109,9791.0,476,44,9.24
Saint Lucia,5380,86,5178,116,6,1.6,96.25,1.66,183629,29298.0,5302,78,1.47
Saint Vincent and the Grenadines,2241,12,2141,88,1,0.54,95.54,0.56,110854,20216.0,2229,12,0.54
Samoa,3,0,3,0,0,0.0,100.0,0.0,196130,15.0,3,0,0.0
San Marino,5092,90,5002,0,0,1.77,98.23,1.8,33938,150038.0,5091,1,0.02
Sao Tome and Principe,2387,37,2327,23,1,1.55,97.49,1.59,219159,10892.0,2369,18,0.76
Saudi Arabia,498906,7947,479709,11250,1133,1.59,96.15,1.66,34813867,14331.0,490464,8442,1.72
Senegal,45266,1187,42090,1989,476,2.62,92.98,2.82,16743930,2703.0,43427,1839,4.23
Serbia,717403,7067,0,710336,110,0.99,0.0,7.977591623036649,8737370,82107.0,716717,686,0.1
Seychelles,16679,74,15541,1064,0,0.44,93.18,0.48,98340,169605.0,15857,822,5.18
Sierra Leone,5963,109,3891,1963,76,1.83,65.25,2.8,7976985,748.0,5702,261,4.58
Singapore,62678,36,62374,268,10,0.06,99.51,0.06,5850343,10714.0,62599,79,0.13
Slovakia,391852,12517,255300,124035,39,3.19,65.15,4.9,5459643,71772.0,391676,176,0.04
Slovenia,257703,4423,252792,488,84,1.72,98.09,1.75,2078932,123959.0,257383,320,0.12
Solomon Islands,20,0,20,0,0,0.0,100.0,0.0,652858,31.0,20,0,0.0
Somalia,14995,775,7252,6968,0,5.17,48.36,10.69,15893219,943.0,14946,49,0.33
South Africa,2157687,63873,1884170,209644,22441,2.96,87.32,3.39,59308690,36381.0,2019826,137861,6.83
South Sudan,10891,117,10514,260,0,1.07,96.54,1.11,11193729,973.0,10866,25,0.23
Spain,3937192,81003,150376,3705813,21879,2.06,3.82,53.87,93691843,42023.0,3833868,103324,2.7
Sri Lanka,271483,3434,241035,27014,1537,1.26,88.78,1.42,21413250,12678.0,262795,8688,3.31
Sudan,36805,2760,30647,3398,0,7.5,83.27,9.01,43849269,839.0,36658,147,0.4
Summer Olympics 2020,6,0,0,6,0,0.0,0.0,0.0,0,33654.671875,6,0,0.0
Suriname,23169,568,19168,3433,172,2.45,82.73,2.96,586634,39495.0,22063,1106,5.01
Sweden,1092540,14643,0,1077897,232,1.34,0.0,7.977591623036649,20426859,53485.0,1090880,1660,0.15
Switzerland,704943,10898,317600,376445,323,1.55,45.05,3.43,8654618,81453.0,703334,1609,0.23
Syria,25766,1896,21876,1994,13,7.36,84.9,8.67,17500657,1472.0,25586,180,0.7
Taiwan*,15185,730,11536,2919,36,4.81,75.97,6.33,23806638,638.0,14911,274,1.84
Tajikistan,13753,100,13483,170,34,0.73,98.04,0.74,9537642,1442.0,13523,230,1.7
